id,Geo_NAME,name,rate
01000,Autauga County,,36
01001,Baldwin County,Autauga,33
01003,Barbour County,Baldwin,30
01005,Bibb County,Barbour,41
01007,Blount County,Bibb,37
01009,Bullock County,Blount,33
01011,Butler County,Bullock,47
01013,Calhoun County,Butler,47
01015,Chambers County,Calhoun,40
01017,Cherokee County,Chambers,42
01019,Chilton County,Cherokee,38
01021,Choctaw County,Chilton,42
01023,Clarke County,Choctaw,47
01025,Clay County,Clarke,36
01027,Cleburne County,Clay,37
01029,Coffee County,Cleburne,34
01031,Colbert County,Coffee,37
01033,Conecuh County,Colbert,37
01035,Coosa County,Conecuh,42
01037,Covington County,Coosa,45
01039,Crenshaw County,Covington,36
01041,Cullman County,Crenshaw,35
01043,Dale County,Cullman,36
01045,Dallas County,Dale,42
01047,DeKalb County,Dallas,42
01049,Elmore County,DeKalb,30
01051,Escambia County,Elmore,35
01053,Etowah County,Escambia,37
01055,Fayette County,Etowah,36
01057,Franklin County,Fayette,38
01059,Geneva County,Franklin,37
01061,Greene County,Geneva,41
01063,Hale County,Greene,38
01065,Henry County,Hale,45
01067,Houston County,Henry,35
01069,Jackson County,Houston,39
01071,Jefferson County,Jackson,36
01073,Lamar County,Jefferson,35
01075,Lauderdale County,Lamar,34
01077,Lawrence County,Lauderdale,32
01079,Lee County,Lawrence,33
01081,Limestone County,Lee,31
01083,Lowndes County,Limestone,33
01085,Macon County,Lowndes,44
01087,Madison County,Macon,51
01089,Marengo County,Madison,34
01091,Marion County,Marengo,45
01093,Marshall County,Marion,38
01095,Mobile County,Marshall,37
01097,Monroe County,Mobile,38
01099,Montgomery County,Monroe,43
01101,Morgan County,Montgomery,37
01103,Perry County,Morgan,36
01105,Pickens County,Perry,47
01107,Pike County,Pickens,39
01109,Randolph County,Pike,38
01111,Russell County,Randolph,34
01113,St. Clair County,Russell,39
01115,Shelby County,St. Clair,37
01117,Sumter County,Shelby,38
01119,Talladega County,Sumter,43
01121,Tallapoosa County,Talladega,39
01123,Tuscaloosa County,Tallapoosa,35
01125,Walker County,Tuscaloosa,36
01127,Washington County,Walker,39
01129,Wilcox County,Washington,32
01131,Winston County,Wilcox,50
01133,Aleutians East Borough,Winston,36
02000,Aleutians West Census Area,"Aleutians West Census Area, Alaska",32
02013,Anchorage Municipality,"Anchorage Municipality, Alaska",52
02016,Bethel Census Area,"Bethel Census Area, Alaska",42
02020,Bristol Bay Borough,"Bristol Bay Borough, Alaska",30
02050,Denali Borough,"Denali Borough, Alaska",34
02060,Dillingham Census Area,"Dillingham Census Area, Alaska",43
02068,Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",23
02070,Haines Borough,"Haines Borough, Alaska",31
02090,Hoonah-Angoon Census Area,"Hoonah-Angoon Census Area, Alaska",31
02100,Juneau City and Borough,"Juneau City and Borough, Alaska",29
